Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-18 20:59:36,2024-03-19 21:19:31,UTC-04:00,2024-03-18 20:59:36,2024-03-19 05:15:39,85,15.4,379,483,278,49,52,104,448,0,78,66,false
2024-03-17 21:02:09,2024-03-18 20:59:36,UTC-04:00,2024-03-18 11:57:18,2024-03-18 12:13:42,2,17.3,11,16,11,0,0,5,458,0,77,,true
2024-03-17 21:02:09,2024-03-18 20:59:36,UTC-04:00,2024-03-17 21:02:09,2024-03-18 06:02:17,100,15.6,470,535,301,112,57,65,445,55,91,49,false
2024-03-16 22:33:56,2024-03-17 21:02:09,UTC-04:00,2024-03-17 11:03:16,2024-03-17 13:37:33,14,16.8,72,154,47,18,7,82,514,55,48,,true
2024-03-16 22:33:56,2024-03-17 21:02:09,UTC-04:00,2024-03-16 22:33:56,2024-03-17 07:43:19,78,15.5,404,549,215,124,65,145,516,53,73,78,false
2024-03-15 22:23:13,2024-03-16 22:33:56,UTC-04:00,2024-03-15 22:23:13,2024-03-16 07:09:18,85,15.3,454,516,241,96,117,62,537,77,88,76,false
2024-03-14 22:00:15,2024-03-15 22:23:13,UTC-04:00,2024-03-14 22:00:15,2024-03-15 05:54:21,70,14.2,356,472,227,92,37,116,511,53,75,88,false
2024-03-13 21:11:39,2024-03-14 22:00:15,UTC-04:00,2024-03-13 21:11:39,2024-03-14 05:54:43,79,14.9,404,523,241,105,58,119,511,52,77,86,false
2024-03-12 21:43:00,2024-03-13 21:11:39,UTC-04:00,2024-03-12 21:43:00,2024-03-13 06:05:15,85,13.2,451,500,197,78,176,49,532,40,90,81,false
2024-03-11 20:54:30,2024-03-12 21:43:00,UTC-04:00,2024-03-11 20:54:30,2024-03-12 06:07:22,88,12.2,473,549,220,62,191,76,536,89,86,65,false
