Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-12 20:47:25,2024-02-13 21:20:54,UTC-05:00,2024-02-13 12:13:24,2024-02-13 12:46:57,33,Walking,4.4,56.0,135,111,29,68,2,0,0,true,3095.48,222.31,-7.59
2024-02-09 21:24:38,2024-02-10 22:55:28,UTC-05:00,2024-02-10 10:13:49,2024-02-10 10:36:44,22,Walking,0.3,27.0,119,103,94,6,0,0,0,true,1158.43,182.26,-5.42
2024-02-08 21:56:25,2024-02-09 21:24:38,UTC-05:00,2024-02-09 17:24:39,2024-02-09 17:47:19,22,Walking,0.4,26.0,117,105,85,15,0,0,0,true,1453.42,120.08,-3.39
2024-02-08 21:56:25,2024-02-09 21:24:38,UTC-05:00,2024-02-09 14:05:26,2024-02-09 14:42:10,36,Walking,4.1,47.0,128,98,55,26,0,0,0,true,1505.37,91.91,1.94
2024-02-08 21:56:25,2024-02-09 21:24:38,UTC-05:00,2024-02-09 09:23:29,2024-02-09 09:44:22,20,Walking,4.0,28.0,129,101,71,20,0,0,0,true,795.98,61.89,0.00
2024-02-07 20:50:40,2024-02-08 21:56:25,UTC-05:00,2024-02-08 12:59:57,2024-02-08 13:12:49,12,Walking,0.5,15.0,123,107,58,42,0,0,0,true,1207.54,92.51,-5.05
2024-02-06 21:39:01,2024-02-07 20:50:40,UTC-05:00,2024-02-07 11:55:23,2024-02-07 12:13:04,17,Walking,4.1,24.0,130,109,35,65,0,0,0,true,1489.57,21.07,-2.67
2024-02-06 21:39:01,2024-02-07 20:50:40,UTC-05:00,2024-02-07 11:33:18,2024-02-07 11:55:07,21,Functional Fitness,4.7,65.0,147,114,35,41,23,0,0,false,,,
2024-02-05 21:21:15,2024-02-06 21:39:01,UTC-05:00,2024-02-06 12:17:43,2024-02-06 12:55:53,38,Disc Golf,5.8,146.0,149,122,4,72,24,0,0,true,1930.33,269.46,1.29
2024-02-04 22:48:19,2024-02-05 21:21:15,UTC-05:00,2024-02-05 07:36:00,2024-02-05 08:00:27,24,Walking,4.3,46.0,144,105,60,22,10,0,0,true,1504.67,79.70,0.00
2024-01-30 22:07:59,2024-01-31 21:28:00,UTC-05:00,2024-01-31 12:10:30,2024-01-31 12:43:29,32,Walking,4.9,85.0,146,115,15,77,8,0,0,false,,,
2024-01-29 21:23:47,2024-01-30 22:07:59,UTC-05:00,2024-01-30 16:02:13,2024-01-30 16:30:57,28,Running,14.8,433.0,189,166,4,1,3,23,69,true,4979.97,69.51,1.10
2024-01-28 22:33:55,2024-01-29 21:23:47,UTC-05:00,2024-01-29 09:30:02,2024-01-29 10:13:52,43,Walking,4.1,61.0,184,91,41,12,0,0,0,true,1261.77,103.50,0.00
2024-01-28 22:33:55,2024-01-29 21:23:47,UTC-05:00,2024-01-29 07:08:48,2024-01-29 07:42:29,33,Functional Fitness,2.2,40.0,136,95,76,3,0,0,0,false,,,
2024-01-27 22:56:54,2024-01-28 22:33:55,UTC-05:00,2024-01-28 10:48:30,2024-01-28 11:12:34,24,Walking,4.4,50.0,138,110,44,53,3,0,0,true,1183.46,88.84,-1.89
2024-01-26 22:20:43,2024-01-27 22:56:54,UTC-05:00,2024-01-27 10:41:09,2024-01-27 11:15:50,34,Walking,4.2,50.0,124,103,59,32,0,0,0,true,1205.53,116.39,0.40
2024-01-23 21:42:52,2024-01-24 21:41:07,UTC-05:00,2024-01-24 19:04:57,2024-01-24 19:07:36,2,Functional Fitness,4.0,6.0,123,112,17,83,0,0,0,false,,,
2024-01-22 21:52:17,2024-01-23 21:42:52,UTC-05:00,2024-01-23 16:14:00,2024-01-23 16:42:09,28,Running,14.7,432.0,194,167,0,2,3,12,83,true,5010.98,75.73,1.40
2024-01-21 21:32:01,2024-01-22 21:52:17,UTC-05:00,2024-01-22 12:16:39,2024-01-22 12:35:37,18,Functional Fitness,5.6,79.0,178,117,33,39,6,13,5,false,,,
2024-01-18 22:10:06,2024-01-19 22:19:36,UTC-05:00,2024-01-19 11:57:00,2024-01-19 12:27:02,30,Walking,4.0,36.0,117,103,92,8,0,0,0,true,2790.87,161.15,-0.55
2024-01-16 21:36:02,2024-01-17 21:10:43,UTC-05:00,2024-01-17 12:04:31,2024-01-17 12:36:49,32,Walking,6.0,134.0,162,119,31,36,25,8,0,true,2841.73,137.82,-1.33
2024-01-15 21:59:56,2024-01-16 21:36:02,UTC-05:00,2024-01-16 12:22:57,2024-01-16 12:36:03,13,Walking,3.1,16.0,131,97,70,15,0,0,0,true,1200.96,27.46,-2.76
2024-01-10 21:52:34,2024-01-11 20:44:07,UTC-05:00,2024-01-11 12:41:45,2024-01-11 12:53:24,11,Walking,0.6,14.0,116,104,87,13,0,0,0,true,1088.35,48.17,0.20
2024-01-09 21:30:14,2024-01-10 21:52:34,UTC-05:00,2024-01-10 12:12:14,2024-01-10 12:43:37,31,Walking,4.1,39.0,130,107,52,48,0,0,0,true,2942.47,192.19,11.19
2024-01-06 21:26:27,2024-01-07 22:30:14,UTC-05:00,2024-01-07 09:25:43,2024-01-07 09:46:53,21,Walking,1.5,25.0,119,103,78,21,0,0,0,true,1126.46,60.11,-3.24
2024-01-05 22:19:48,2024-01-06 21:26:27,UTC-05:00,2024-01-06 14:28:02,2024-01-06 14:55:29,27,Walking,4.8,78.0,159,112,48,34,14,3,0,false,,,
2024-01-02 20:30:48,2024-01-03 21:22:44,UTC-05:00,2024-01-03 12:03:27,2024-01-03 12:24:33,21,Walking,4.2,34.0,146,113,13,83,4,0,0,true,1952.22,44.09,8.67
2024-01-01 20:17:11,2024-01-02 20:30:48,UTC-05:00,2024-01-02 12:23:04,2024-01-02 12:50:46,27,Walking,4.1,41.0,134,112,23,72,3,0,0,true,2310.99,43.08,3.84
2024-01-01 20:17:11,2024-01-02 20:30:48,UTC-05:00,2024-01-02 09:39:57,2024-01-02 10:08:24,28,Walking,3.7,35.0,131,106,52,47,0,0,0,false,1548.20,18.38,0.79
2024-01-01 00:23:38,2024-01-01 20:17:11,UTC-05:00,2024-01-01 13:04:34,2024-01-01 14:41:26,96,Disc Golf,5.2,167.0,148,117,9,77,14,0,0,false,3840.85,162.83,-0.41
2024-01-01 00:23:38,2024-01-01 20:17:11,UTC-05:00,2024-01-01 12:21:32,2024-01-01 12:37:00,15,Walking,1.5,18.0,134,111,31,68,1,0,0,true,1197.09,16.80,0.40
2023-12-30 23:00:20,2024-01-01 00:23:38,UTC-05:00,2023-12-31 10:11:53,2023-12-31 10:46:12,34,Walking,4.1,45.0,135,105,61,35,2,0,0,true,1599.05,34.50,0.90
2023-12-29 21:37:44,2023-12-30 23:00:20,UTC-05:00,2023-12-30 09:51:20,2023-12-30 10:05:42,14,Walking,4.7,60.0,127,109,41,59,0,0,0,false,676.06,12.80,3.30
2023-12-29 21:37:44,2023-12-30 23:00:20,UTC-05:00,2023-12-30 07:11:50,2023-12-30 07:36:27,24,Functional Fitness,5.4,105.0,143,109,47,33,19,0,0,false,,,
